datetime,YEAR,MO,DY,HR,latitude,longitude,tilt,azimuth,system_capacity_kw,ghi,dni,dhi,temp_air,wind_speed,humidity,sun_elevation,sun_azimuth,sun_zenith,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,cell_temperature,dc_power_kw,ac_power_kw,energy_kwh,performance_ratio
2025-09-11 07:00:00+00:00,2025,9,11,7,40.79,-73.95,30,180,5.0,297.35,573.47,85.71,17.05,1.9,8.55,-36.190559116247414,40.74630985194909,126.19055911624741,84.94818695226927,0.0,84.94818695226927,79.96851867918213,4.979668273087144,19.666071811571445,0.06507046280102377,0.06246764428898282,0.06246764428898282,0.2801082642855572
2025-09-11 08:00:00+00:00,2025,9,11,8,40.79,-73.95,30,180,5.0,484.27,721.0,98.83,21.45,2.58,8.25,-27.747131462234172,55.34131585811582,117.74713146223417,100.31963004167177,0.0,100.31963004167177,92.20964532800804,8.109984713663733,24.429063713987738,0.07541155088222416,0.0723950888469352,0.0723950888469352,0.19932431315019913
2025-09-11 09:00:00+00:00,2025,9,11,9,40.79,-73.95,30,180,5.0,640.67,809.12,98.57,23.74,2.73,8.01,-17.787871630926084,67.47292785237619,107.78787163092608,102.69625009519402,0.0,102.69625009519402,91.96706202551606,10.729188069677956,26.76532044590469,0.07647831220136315,0.07341917971330862,0.07341917971330862,0.15279666539364234
2025-09-11 10:00:00+00:00,2025,9,11,10,40.79,-73.95,30,180,5.0,725.95,774.61,129.68,24.97,2.56,8.11,-6.959484313168922,78.0583582359435,96.95948431316893,133.15044444671886,0.0,133.15044444671886,120.99308718138302,12.157357265335841,28.928223720027514,0.09829369913241573,0.0943619511671191,0.0943619511671191,0.17331212189474773
2025-09-11 11:00:00+00:00,2025,9,11,11,40.79,-73.95,30,180,5.0,779.1,803.1,127.52,25.88,2.34,8.29,4.291470621845036,87.93650561453325,85.52949503151385,171.82236864690725,39.797137912668454,132.0252307342388,118.97777974529582,13.047450988942975,31.048248559114985,0.1257491033044033,0.12071913917222717,0.12071913917222717,0.20659588272318857
2025-09-11 12:00:00+00:00,2025,9,11,12,40.79,-73.95,30,180,5.0,791.55,894.45,97.17,26.6,2.18,8.36,15.61215298690738,97.88407961266728,74.32939014452492,372.2111548488092,268.2943616516388,103.91679319717039,90.66084424286696,13.255948954303442,37.891995522622004,0.2647627325112645,0.2541722232108139,0.2541722232108139,0.4281426285318913
2025-09-11 13:00:00+00:00,2025,9,11,13,40.79,-73.95,30,180,5.0,723.38,845.97,99.1,27.02,2.03,8.37,26.64451683188995,108.74366455450092,63.32230410612322,554.9569292701476,450.38105258632703,104.57587668382054,92.46155875751894,12.114317926301592,43.99184424100735,0.38459873026911157,0.3692147810583471,0.3692147810583471,0.6805363360121414
2025-09-11 14:00:00+00:00,2025,9,11,14,40.79,-73.95,30,180,5.0,601.92,818.29,89.48,27.11,1.97,8.37,36.91129332447087,121.58967787435756,53.06642912286701,690.7076806820102,597.1414554974356,93.56622518457462,83.4859765653158,10.08024861925883,48.30143069169094,0.4697473290626162,0.4509574359001115,0.4509574359001115,0.9989310559545267
2025-09-11 15:00:00+00:00,2025,9,11,15,40.79,-73.95,30,180,5.0,435.45,741.87,81.01,26.92,1.94,8.32,45.652180434812934,137.82414106096672,44.33143323166197,734.5455426235683,651.6697789030213,82.87576372054696,75.5833589802887,7.29240474025827,49.4926745426217,0.4969362022310387,0.4770587541417971,0.4770587541417971,1.460737946620116
2025-09-11 16:00:00+00:00,2025,9,11,16,40.79,-73.95,30,180,5.0,242.4,554.51,69.13,26.12,1.83,8.38,51.64902968449019,158.68438530884987,38.33769934220587,605.4429843157848,536.8843859686441,68.55859834714062,64.49916808180912,4.059430265331507,44.8353956534174,0.4180546348183704,0.40133244942563556,0.40133244942563556,2.207549226763672
