YEAR,MO,DY,HR,QV2M,ALLSKY_SFC_SW_DWN,WS10M,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,T2M
2025,9,8,17,7.2,80.68,1.42,35.99,280.39,21.37
2025,9,8,18,7.1,0,1.99,0,0,18.4
2025,9,8,19,7.21,0,2.14,0,0,17.22
2025,9,8,20,7.42,0,1.99,0,0,16.65
2025,9,8,21,7.62,0,1.61,0,0,16.42
2025,9,8,22,7.71,0,1.04,0,0,16.25
2025,9,8,23,7.78,0,1.02,0,0,15.6
2025,9,9,0,7.87,0,1.61,0,0,14.42
2025,9,9,1,7.94,0,2.17,0,0,12.92
2025,9,9,2,8,0,2.25,0,0,12.1
2025,9,9,3,8.07,0,2.27,0,0,11.67
2025,9,9,4,8.18,0,2.34,0,0,11.45
2025,9,9,5,8.27,7.68,2.35,9.11,31.29,11.36
2025,9,9,6,8.38,89.71,2.48,56.37,180.27,13.61
2025,9,9,7,8.21,324.17,2.77,80.3,652.88,16.55
2025,9,9,8,7.45,507.5,3.4,117.23,724.52,19.3
2025,9,9,9,6.68,667.33,3.83,122.24,808.46,21
2025,9,9,10,6.42,750.58,3.89,153.53,781.16,22.18
2025,9,9,11,6.37,770.35,3.75,240.06,624.32,23.13
2025,9,9,12,6.34,703.2,3.62,313.98,493.13,23.78
2025,9,9,13,6.33,619.45,3.46,299.88,462.95,24.11
2025,9,9,14,6.36,445.02,3.33,293.23,189.31,24.03
2025,9,9,15,6.43,318.58,3.31,215.47,173.04,23.54
2025,9,9,16,6.56,183.5,3.34,122.93,224.39,22.6
2025,9,9,17,7.48,57.78,3.06,43.22,114.62,20.54
2025,9,9,18,7.99,0,2.96,0,0,17.78
2025,9,9,19,8.6,0,3.35,0,0,17.29
2025,9,9,20,9.13,0,3.31,0,0,17.04
2025,9,9,21,9.51,0,3.37,0,0,16.76
2025,9,9,22,9.69,0,3.52,0,0,16.64
2025,9,9,23,9.74,0,3.48,0,0,16.55
2025,9,10,0,9.74,0,3.35,0,0,16.34
2025,9,10,1,9.67,0,3.27,0,0,16.21
2025,9,10,2,9.63,0,3.18,0,0,16.09
2025,9,10,3,9.54,0,3.23,0,0,15.91
2025,9,10,4,9.39,0,3.4,0,0,15.59
2025,9,10,5,9.26,2.7,3.45,3.09,0,15.19
2025,9,10,6,9.17,32.75,3.6,29.08,9.63,15.16
2025,9,10,7,9.14,86.78,3.86,71.1,37.87,15.67
2025,9,10,8,9.29,135.4,4.04,116.67,9.9,16.35
2025,9,10,9,9.55,157.12,4.28,130.63,8.74,17.41
2025,9,10,10,9.77,207.25,4.29,163.95,38.53,19.07
2025,9,10,11,9.92,268.48,4.11,212.55,48.92,20.59
2025,9,10,12,10.14,324.38,3.86,204.58,342.48,21.65
2025,9,10,13,10.32,277.67,3.64,219.27,43.78,22.34
